sep=,
"Time","Kalman Humi1"
2021-11-23 04:06:00,58.0 %H
2021-11-23 04:09:00,58.0 %H
2021-11-23 04:12:00,58.0 %H
2021-11-23 04:15:00,58.0 %H
2021-11-23 04:18:00,58 %H
2021-11-23 04:21:00,58 %H
2021-11-23 04:24:00,58 %H
2021-11-23 04:27:00,58 %H
2021-11-23 04:30:00,58.0 %H
2021-11-23 04:33:00,58.0 %H
2021-11-23 04:36:00,58.0 %H
2021-11-23 04:39:00,58.0 %H
2021-11-23 04:42:00,58.0 %H
2021-11-23 04:45:00,58.0 %H
2021-11-23 04:48:00,58.0 %H
2021-11-23 04:51:00,58.0 %H
2021-11-23 04:54:00,58.0 %H
2021-11-23 04:57:00,58.0 %H
2021-11-23 05:00:00,58.0 %H
2021-11-23 05:03:00,58.0 %H
2021-11-23 05:06:00,58.0 %H
2021-11-23 05:09:00,58.0 %H
2021-11-23 05:12:00,58.0 %H
2021-11-23 05:15:00,58.0 %H
2021-11-23 05:18:00,58 %H
2021-11-23 05:21:00,58 %H
2021-11-23 05:24:00,58 %H
2021-11-23 05:27:00,58 %H
2021-11-23 05:30:00,58 %H
2021-11-23 05:33:00,58.0 %H
2021-11-23 05:36:00,58.0 %H
2021-11-23 05:39:00,58.0 %H
2021-11-23 05:42:00,58.0 %H
2021-11-23 05:45:00,58.0 %H
2021-11-23 05:48:00,58.0 %H
2021-11-23 05:51:00,58.0 %H
2021-11-23 05:54:00,58.0 %H
2021-11-23 05:57:00,58.0 %H
2021-11-23 06:00:00,58.0 %H
2021-11-23 06:03:00,58.0 %H
2021-11-23 06:06:00,58.0 %H
2021-11-23 06:09:00,58.0 %H
2021-11-23 06:12:00,58.0 %H
2021-11-23 06:15:00,58.0 %H
2021-11-23 06:18:00,58.0 %H
2021-11-23 06:21:00,58.0 %H
2021-11-23 06:24:00,57.9 %H
2021-11-23 06:27:00,57.9 %H
2021-11-23 06:30:00,57.9 %H
2021-11-23 06:33:00,57.9 %H
2021-11-23 06:36:00,57.9 %H
2021-11-23 06:39:00,57.9 %H
2021-11-23 06:42:00,57.9 %H
2021-11-23 06:45:00,57.9 %H
2021-11-23 06:48:00,57.9 %H
2021-11-23 06:51:00,57.9 %H
2021-11-23 06:54:00,57.9 %H
2021-11-23 06:57:00,57.9 %H
2021-11-23 07:00:00,57.9 %H
2021-11-23 07:03:00,57.9 %H
2021-11-23 07:06:00,57.9 %H
2021-11-23 07:09:00,57.9 %H
2021-11-23 07:12:00,57.9 %H
2021-11-23 07:15:00,57.9 %H
2021-11-23 07:18:00,57.9 %H
2021-11-23 07:21:00,57.9 %H
2021-11-23 07:24:00,57.9 %H
2021-11-23 07:27:00,57.9 %H
2021-11-23 07:30:00,57.9 %H
2021-11-23 07:33:00,57.9 %H
2021-11-23 07:36:00,57.9 %H
2021-11-23 07:39:00,57.9 %H
2021-11-23 07:42:00,57.8 %H
2021-11-23 07:45:00,57.8 %H
2021-11-23 07:48:00,57.8 %H
2021-11-23 07:51:00,57.8 %H
2021-11-23 07:54:00,57.8 %H
2021-11-23 07:57:00,57.8 %H
2021-11-23 08:00:00,57.8 %H
2021-11-23 08:03:00,57.8 %H
2021-11-23 08:06:00,57.8 %H
2021-11-23 08:09:00,57.8 %H
2021-11-23 08:12:00,57.8 %H
2021-11-23 08:15:00,57.8 %H
2021-11-23 08:18:00,57.8 %H
2021-11-23 08:21:00,57.8 %H
2021-11-23 08:24:00,57.8 %H
2021-11-23 08:27:00,57.8 %H
2021-11-23 08:30:00,57.8 %H
2021-11-23 08:33:00,57.8 %H
2021-11-23 08:36:00,57.8 %H
2021-11-23 08:39:00,57.8 %H
2021-11-23 08:42:00,57.8 %H
2021-11-23 08:45:00,57.8 %H
2021-11-23 08:48:00,57.8 %H
2021-11-23 08:51:00,57.8 %H
2021-11-23 08:54:00,57.8 %H
2021-11-23 08:57:00,57.7 %H
2021-11-23 09:00:00,57.7 %H
2021-11-23 09:03:00,57.7 %H
2021-11-23 09:06:00,57.7 %H
2021-11-23 09:09:00,57.7 %H
2021-11-23 09:12:00,57.7 %H
2021-11-23 09:15:00,57.7 %H
2021-11-23 09:18:00,57.7 %H
2021-11-23 09:21:00,57.7 %H
2021-11-23 09:24:00,57.7 %H
2021-11-23 09:27:00,57.7 %H
2021-11-23 09:30:00,57.7 %H
2021-11-23 09:33:00,57.7 %H
2021-11-23 09:36:00,57.7 %H
2021-11-23 09:39:00,57.7 %H
2021-11-23 09:42:00,57.7 %H
2021-11-23 09:45:00,57.7 %H
2021-11-23 09:48:00,57.7 %H
2021-11-23 09:51:00,57.7 %H
2021-11-23 09:54:00,57.7 %H
2021-11-23 09:57:00,57.7 %H
2021-11-23 10:00:00,57.6 %H
2021-11-23 10:03:00,57.6 %H
2021-11-23 10:06:00,57.6 %H
2021-11-23 10:09:00,57.6 %H
2021-11-23 10:12:00,57.6 %H
2021-11-23 10:15:00,57.6 %H
2021-11-23 10:18:00,57.6 %H
2021-11-23 10:21:00,57.6 %H
2021-11-23 10:24:00,57.6 %H
2021-11-23 10:27:00,57.6 %H
2021-11-23 10:30:00,57.6 %H
2021-11-23 10:33:00,57.6 %H
2021-11-23 10:36:00,57.6 %H
2021-11-23 10:39:00,57.6 %H
2021-11-23 10:42:00,57.6 %H
2021-11-23 10:45:00,57.6 %H
2021-11-23 10:48:00,57.6 %H
2021-11-23 10:51:00,57.6 %H
2021-11-23 10:54:00,57.6 %H
2021-11-23 10:57:00,57.5 %H
2021-11-23 11:00:00,57.5 %H
2021-11-23 11:03:00,57.5 %H
2021-11-23 11:06:00,57.5 %H
2021-11-23 11:09:00,57.5 %H
2021-11-23 11:12:00,57.5 %H
2021-11-23 11:15:00,57.5 %H
2021-11-23 11:18:00,57.5 %H
2021-11-23 11:21:00,57.5 %H
2021-11-23 11:24:00,57.5 %H
2021-11-23 11:27:00,57.5 %H
2021-11-23 11:30:00,57.5 %H
2021-11-23 11:33:00,57.5 %H
2021-11-23 11:36:00,57.5 %H
2021-11-23 11:39:00,57.5 %H
2021-11-23 11:42:00,57.5 %H
2021-11-23 11:45:00,57.5 %H
2021-11-23 11:48:00,57.5 %H
2021-11-23 11:51:00,57.5 %H
2021-11-23 11:54:00,57.5 %H
2021-11-23 11:57:00,57.5 %H
2021-11-23 12:00:00,57.5 %H
2021-11-23 12:03:00,57.5 %H
2021-11-23 12:06:00,57.5 %H
2021-11-23 12:09:00,57.4 %H
2021-11-23 12:12:00,57.4 %H
2021-11-23 12:15:00,57.4 %H
2021-11-23 12:18:00,57.4 %H
2021-11-23 12:21:00,57.4 %H
2021-11-23 12:24:00,57.4 %H
2021-11-23 12:27:00,57.4 %H
2021-11-23 12:30:00,57.4 %H
2021-11-23 12:33:00,57.4 %H
2021-11-23 12:36:00,57.4 %H
2021-11-23 12:39:00,57.4 %H
2021-11-23 12:42:00,57.4 %H
